date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:40	3656/3656	---M--	200	added ('OK')	image/png	etag:%2261238872-e48%22	https://www.alstoneindia.in/public/front/images/black-logo.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/black-logo.png	(from https://www.alstoneindia.in/home)
15:23:42	74589/74589	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:39%20GMT	https://www.alstoneindia.in/about	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/about.html	(from https://www.alstoneindia.in/home)
15:23:43	53376/53376	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:41%20GMT	https://www.alstoneindia.in/product/fr-pu-foam	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/fr-pu-foam.html	(from https://www.alstoneindia.in/home)
15:23:43	54537/54537	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:42%20GMT	https://www.alstoneindia.in/product/silicone-foam-mf-1	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/silicone-foam-mf-1.html	(from https://www.alstoneindia.in/home)
15:23:46	448810/448810	---M--	200	added ('OK')	image/png	etag:%2260dce04a-6d92a%22	https://www.alstoneindia.in/public/front/images/product-03.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/product-03.png	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:46	50617/50617	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:42%20GMT	https://www.alstoneindia.in/product/alstone-pu-sealant-221	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/alstone-pu-sealant-221.html	(from https://www.alstoneindia.in/home)
15:23:46	51138/51138	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:45%20GMT	https://www.alstoneindia.in/product/Alstone-PU-Sealant-265	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/Alstone-PU-Sealant-265.html	(from https://www.alstoneindia.in/home)
15:23:47	51418/51418	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:45%20GMT	https://www.alstoneindia.in/product/alstone-pu-foam-1k	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/alstone-pu-foam-1k.html	(from https://www.alstoneindia.in/home)
15:23:47	437320/437320	---M--	200	added ('OK')	image/png	etag:%2260dce02a-6ac48%22	https://www.alstoneindia.in/public/front/images/bg-tagline.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/bg-tagline.png	(from https://www.alstoneindia.in/public/front/css/style.css)
15:23:47	52195/52195	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:45%20GMT	https://www.alstoneindia.in/product/alstone-stixLam-special-adhesive	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/alstone-stixLam-special-adhesive.html	(from https://www.alstoneindia.in/home)
15:23:47	76163/76163	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:46%20GMT	https://www.alstoneindia.in/product/pre-laminated-door-and-chaukhat-combo	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/pre-laminated-door-and-chaukhat-combo.html	(from https://www.alstoneindia.in/home)
15:23:48	89216/89216	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:46%20GMT	https://www.alstoneindia.in/product/wood-polymer-composite-sheet	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/wood-polymer-composite-sheet.html	(from https://www.alstoneindia.in/home)
15:23:49	81396/81396	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:47%20GMT	https://www.alstoneindia.in/product/wpc-doors-and-window-frames	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/wpc-doors-and-window-frames.html	(from https://www.alstoneindia.in/home)
15:23:49	49407/49407	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:48%20GMT	https://www.alstoneindia.in/product/wpc-acoustic-wall-panel	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/wpc-acoustic-wall-panel.html	(from https://www.alstoneindia.in/home)
15:23:50	49953/49953	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:48%20GMT	https://www.alstoneindia.in/product/alstone-toilet-cubicals	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/alstone-toilet-cubicals.html	(from https://www.alstoneindia.in/home)
15:23:50	63159/63159	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:49%20GMT	https://www.alstoneindia.in/product/solid-plain-door	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/solid-plain-door.html	(from https://www.alstoneindia.in/home)
15:23:50	90748/90748	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:49%20GMT	https://www.alstoneindia.in/product/routed-doors	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/routed-doors.html	(from https://www.alstoneindia.in/home)
15:23:51	50022/50022	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:49%20GMT	https://www.alstoneindia.in/product/wpc-tubular-hollow-door	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/wpc-tubular-hollow-door.html	(from https://www.alstoneindia.in/home)
15:23:51	75421/75421	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:50%20GMT	https://www.alstoneindia.in/product/Pre-Laminated-Designer-Doors	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/Pre-Laminated-Designer-Doors.html	(from https://www.alstoneindia.in/home)
15:23:52	53994/53994	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:50%20GMT	https://www.alstoneindia.in/product/alstone-silicone-grease	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/alstone-silicone-grease.html	(from https://www.alstoneindia.in/home)
15:23:52	52873/52873	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:50%20GMT	https://www.alstoneindia.in/product/silicone	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/product/silicone.html	(from https://www.alstoneindia.in/home)
